date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-24,1.0,0.9999999985902147,1.0000000012904868,46303774477
2024-12-25,1.0,0.9999999984179765,1.0000000014899912,46303774477
2024-12-26,1.0,0.999999997868636,1.0000000018919133,46303774477
2024-12-27,1.0,0.9999999970183012,1.0000000026871505,46303774477
2024-12-28,1.0,0.9999999957354588,1.000000004215818,46303774477
2024-12-29,1.0,0.9999999938085778,1.000000006493307,46303774477
2024-12-30,1.0,0.9999999916691813,1.0000000084060543,46303774477
2024-12-31,1.0,0.999999989493802,1.0000000104369806,46303774477
2025-01-01,1.0,0.9999999874523844,1.000000013046922,46303774477
2025-01-02,1.0,0.9999999850646104,1.0000000145268568,46303774477
2025-01-03,1.0,0.9999999832350523,1.0000000179702533,46303774477
2025-01-04,1.0,0.9999999806908664,1.0000000199282852,46303774477
2025-01-05,1.0,0.9999999775515281,1.0000000222754777,46303774477
2025-01-06,1.0,0.9999999745909631,1.0000000259003876,46303774477
2025-01-07,1.0,0.9999999711593646,1.0000000289401707,46303774477
2025-01-08,1.0,0.9999999681155802,1.0000000315409991,46303774477
2025-01-09,1.0,0.9999999634890147,1.0000000351763518,46303774477
2025-01-10,1.0,0.9999999598688457,1.0000000382187457,46303774477
2025-01-11,1.0,0.9999999560490777,1.0000000413329189,46303774477
2025-01-12,1.0,0.9999999527366263,1.0000000442957608,46303774477
2025-01-13,1.0,0.9999999498452969,1.0000000480654831,46303774477
2025-01-14,1.0,0.9999999465374013,1.0000000515164185,46303774477
2025-01-15,1.0,0.9999999417078571,1.00000005518,46303774477
2025-01-16,1.0,0.9999999383341301,1.0000000587177296,46303774477
2025-01-17,1.0,0.9999999335530982,1.0000000629245573,46303774477
2025-01-18,1.0,0.9999999284102589,1.0000000659850508,46303774477
2025-01-19,1.0,0.9999999241608158,1.000000070439223,46303774477
2025-01-20,1.0,0.9999999192644572,1.000000074160594,46303774477
2025-03-04,1.9999996656589085,1.999999665657476,1.999999665660359,46303862950
2025-03-05,1.9999996656589087,1.9999996656573666,1.9999996656603714,46303862950
2025-03-06,1.9999996656589092,1.999999665657187,1.9999996656605559,46303862950
2025-03-07,1.9999996656589094,1.9999996656572359,1.9999996656606926,46303862950
2025-03-08,1.9999996656589096,1.9999996656570402,1.9999996656610244,46303862950
2025-03-09,1.99999966565891,1.9999996656570533,1.9999996656615415,46303862950
2025-03-10,1.9999996656589103,1.9999996656566814,2.000006893766574,46303862950
2025-03-11,1.9999996656589105,1.9999877241957202,2.0000422018309427,46303862950
2025-03-12,1.9999996656589107,1.9999428785405182,2.0001035634004607,46303862950
2025-03-13,1.9999996656589112,1.9998971881987733,2.0001364763790836,46303862950
2025-03-14,1.9999996656589114,1.9998627531755009,2.0001885718527754,46303862950
2025-03-15,1.9999996656589116,1.99981175076567,2.000255201372359,46303862950
2025-03-16,1.9999996656589119,1.9997185895840879,2.0003017189326897,46303862950
2025-03-17,1.9999996656589123,1.9996633994917148,2.0004085985592144,46303862950
2025-03-18,1.9999996656589125,1.9995557932001924,2.000495890966073,46303862950
2025-03-19,1.9999996656589127,1.9994948855692107,2.0006202428619204,46303862950
2025-03-20,1.9999996656589132,1.9994331153208935,2.00076550071012,46303862950
2025-03-21,1.9999996656589134,1.9993152957850204,2.0008626569430388,46303862950
2025-03-22,1.9999996656589136,1.9992320849289131,2.0009374498195704,46303862950
2025-03-23,1.9999996656589138,1.9990513336423676,2.001045386854084,46303862950
2025-03-24,1.9999996656589143,1.9989703990943148,2.001193916858233,46303862950
2025-03-25,1.9999996656589145,1.998795843883986,2.0013748601134815,46303862950
2025-03-26,1.9999996656589147,1.998708108608304,2.001522746862343,46303862950
2025-03-27,1.999999665658915,1.998604080951467,2.0016373948464845,46303862950
2025-03-28,1.9999996656589154,1.9985198200041496,2.001852463312713,46303862950
2025-03-29,1.9999996656589156,1.9984246559830747,2.001979685164971,46303862950
2025-03-30,1.9999996656589158,1.9983059590081578,2.0020855148443584,46303862950
2025-03-31,1.9999996656589163,1.9981752298165245,2.0022323925594723,46303862950
2025-03-04,5.434594712288739,1.290172001070643,9.393427494245016,46303877432
2025-03-05,4.865590756422694,0.47726391519367145,8.907466097191383,46303877432
2025-03-06,4.296586800556636,-0.008192045140965729,8.254887474648385,46303877432
2025-03-07,3.727582844690591,-0.6803088111450787,7.765135998782572,46303877432
2025-03-08,3.1585788888245467,-0.9126143220709149,6.767191205960016,46303877432
2025-03-09,2.5895749329585023,-1.8496080466089373,6.719847752398598,46303877432
2025-03-10,2.020570977092458,-2.272111222864436,6.044920509177586,46303877432
2025-03-11,1.4515670212264133,-2.74966020674645,5.50105859092486,46303877432
2025-03-12,0.8825630653603618,-2.934868700874768,5.11741122201577,46303877432
2025-03-13,0.3135591094943173,-3.3795312031115654,4.575546727881118,46303877432
2025-03-14,-0.25544484637172715,-4.297359560584545,3.9197253506565253,46303877432
2025-03-15,-0.8244488022377716,-4.951985034478979,3.2114733063291956,46303877432
2025-03-16,-1.393452758103816,-5.724629140102952,2.809567503886445,46303877432
2025-03-17,-1.9624567139698605,-5.858572657156711,2.453942963440159,46303877432
2025-03-18,-2.531460669835919,-6.6334588987676275,1.2228336106711961,46303877432
2025-03-19,-3.1004646257019637,-7.103534638519287,1.2268647721618189,46303877432
2025-03-20,-3.669468581568008,-7.522116840400571,0.4978049662744126,46303877432
2025-03-21,-4.238472537434053,-8.521319439300434,-0.32677574581219837,46303877432
2025-03-22,-4.807476493300097,-8.77553127975073,-0.6237939437527231,46303877432
